<Header>
User name: Carl
Location: probe cabin
# of Location: 1
Model: 11-D
Serial No.: 11D20167
Firmware revision: 12.50E
Software revision: 1179-V2.05 (15-06-2020)
Unit: dM [ug/m3]
C-factor: 1,00
location factor: 1,00
Comment: F2583
online data
<Data>
[d&t31.12.2035 11:50:55]	0,253 um	0,298 um	0,352 um	0,414 um	0,488 um	0,576 um	0,679 um	0,800 um	0,943 um	1,112 um	1,310 um	1,545 um	1,821 um	2,146 um	2,530 um	2,982 um
12.06.2025 13:21:53	0,31	0,24	0,21	0,28	0,18	0,15	0,18	0,06	0,05	0,08	0,00	0,21	0,69	1,69	0,00	1,51
12.06.2025 13:21:54	0,30	0,26	0,26	0,22	0,12	0,16	0,09	0,09	0,10	0,08	0,26	0,42	0,69	0,56	0,92	1,51
12.06.2025 13:21:55	0,30	0,23	0,21	0,26	0,18	0,13	0,14	0,03	0,10	0,23	0,00	0,21	0,00	0,00	0,00	0,00
12.06.2025 13:21:56	0,29	0,22	0,26	0,23	0,14	0,11	0,04	0,09	0,10	0,16	0,00	0,21	0,69	0,00	0,00	1,51
12.06.2025 13:21:57	0,31	0,25	0,25	0,25	0,19	0,07	0,16	0,03	0,00	0,08	0,13	0,00	0,69	0,00	0,00	6,03
12.06.2025 13:21:58	0,29	0,22	0,21	0,25	0,10	0,14	0,11	0,06	0,10	0,00	0,13	0,21	0,00	1,12	0,92	1,51
12.06.2025 13:21:59	0,30	0,21	0,25	0,22	0,17	0,13	0,05	0,09	0,05	0,08	0,00	0,42	0,34	0,00	0,00	0,00
12.06.2025 13:22:00	0,31	0,22	0,21	0,29	0,23	0,11	0,04	0,06	0,19	0,31	0,00	0,21	0,34	0,00	0,00	1,51
12.06.2025 13:22:01	0,29	0,23	0,24	0,20	0,13	0,05	0,07	0,03	0,10	0,00	0,00	0,21	1,72	0,56	0,92	0,00
12.06.2025 13:22:02	0,32	0,20	0,21	0,23	0,14	0,11	0,07	0,12	0,00	0,31	0,13	0,42	0,69	0,00	0,92	3,02
12.06.2025 13:22:03	0,30	0,25	0,23	0,23	0,13	0,12	0,12	0,06	0,00	0,00	0,00	0,42	0,00	0,00	0,92	3,02
12.06.2025 13:22:04	0,32	0,21	0,22	0,26	0,15	0,12	0,05	0,06	0,10	0,16	0,00	0,42	0,00	0,00	0,00	3,02
12.06.2025 13:22:05	0,29	0,24	0,24	0,23	0,15	0,07	0,12	0,12	0,05	0,00	0,13	0,63	0,69	0,00	1,84	0,00
12.06.2025 13:22:06	0,32	0,24	0,27	0,26	0,15	0,17	0,09	0,03	0,00	0,08	0,13	0,21	0,00	0,00	0,00	0,00
12.06.2025 13:22:07	0,34	0,23	0,19	0,20	0,15	0,12	0,02	0,06	0,00	0,16	0,00	0,63	1,03	0,00	0,92	0,00
12.06.2025 13:22:08	0,29	0,19	0,22	0,26	0,23	0,17	0,09	0,00	0,10	0,08	0,64	0,63	0,00	0,00	0,00	0,00
12.06.2025 13:22:09	0,31	0,28	0,23	0,21	0,15	0,10	0,04	0,03	0,05	0,08	0,26	0,42	1,37	0,00	0,00	4,52
12.06.2025 13:22:10	0,28	0,22	0,24	0,18	0,16	0,08	0,05	0,03	0,05	0,23	0,26	0,63	0,00	0,00	0,00	3,02
12.06.2025 13:22:11	0,30	0,22	0,21	0,18	0,13	0,10	0,04	0,09	0,14	0,08	0,38	0,00	0,34	0,56	0,92	1,51
12.06.2025 13:22:12	0,27	0,25	0,20	0,24	0,12	0,13	0,07	0,03	0,14	0,23	0,13	0,42	0,69	0,00	0,92	1,51
12.06.2025 13:22:13	0,30	0,20	0,22	0,21	0,19	0,18	0,05	0,06	0,14	0,00	0,13	0,21	0,34	0,00	0,00	0,00
12.06.2025 13:22:14	0,31	0,23	0,28	0,28	0,15	0,08	0,18	0,15	0,10	0,08	0,26	0,42	0,34	1,12	0,00	1,51
12.06.2025 13:22:15	0,33	0,25	0,20	0,22	0,12	0,14	0,12	0,03	0,05	0,00	0,26	0,63	0,34	0,00	1,84	1,51
12.06.2025 13:22:16	0,29	0,25	0,20	0,26	0,15	0,12	0,11	0,09	0,14	0,16	0,77	0,42	1,03	0,00	0,92	1,51
12.06.2025 13:22:17	0,31	0,26	0,23	0,21	0,21	0,16	0,07	0,06	0,19	0,00	0,51	0,00	0,00	0,00	0,92	1,51
12.06.2025 13:22:18	0,33	0,24	0,25	0,24	0,17	0,12	0,11	0,03	0,05	0,00	0,00	0,21	0,34	0,00	1,84	7,54
12.06.2025 13:22:19	0,32	0,21	0,25	0,24	0,14	0,10	0,12	0,12	0,00	0,31	0,38	0,84	0,00	0,56	0,00	3,02
12.06.2025 13:22:20	0,32	0,20	0,21	0,23	0,13	0,20	0,04	0,00	0,10	0,00	0,13	0,21	0,00	0,00	1,84	3,02
12.06.2025 13:22:21	0,30	0,24	0,22	0,22	0,21	0,16	0,07	0,03	0,00	0,00	0,38	0,21	1,03	0,56	0,92	0,00
