<Header>
User name: Carl
Location: probe cabin
# of Location: 1
Model: 11-D
Serial No.: 11D20167
Firmware revision: 12.50E
Software revision: 1179-V2.05 (15-06-2020)
Unit: counts/liter (differential)
C-factor: 1,00
location factor: 1,00
Comment: F2583
online data
<Data>
[d&t31.12.2035 11:50:55]	0,253 um	0,298 um	0,352 um	0,414 um	0,488 um	0,576 um	0,679 um	0,800 um	0,943 um	1,112 um	1,310 um	1,545 um	1,821 um	2,146 um	2,530 um	2,982 um
12.06.2025 13:21:46	17680,0	7370,0	4110,0	2700,0	1000,0	500,0	200,0	100,0	0,0	50,0	50,0	0,0	50,0	0,0	100,0	50,0
12.06.2025 13:21:47	15530,0	8670,0	4560,0	2350,0	1000,0	650,0	300,0	50,0	200,0	100,0	0,0	100,0	0,0	0,0	0,0	100,0
12.06.2025 13:21:48	14620,0	7320,0	4760,0	3100,0	1200,0	300,0	150,0	150,0	150,0	0,0	50,0	50,0	0,0	50,0	0,0	0,0
12.06.2025 13:21:49	16940,0	8070,0	3760,0	3400,0	1150,0	500,0	150,0	50,0	50,0	100,0	50,0	150,0	50,0	50,0	0,0	0,0
12.06.2025 13:21:50	17350,0	7070,0	4760,0	3750,0	1450,0	700,0	250,0	50,0	200,0	0,0	100,0	50,0	100,0	0,0	50,0	100,0
12.06.2025 13:21:51	17440,0	7870,0	3960,0	2550,0	1300,0	700,0	450,0	100,0	300,0	100,0	150,0	50,0	50,0	150,0	0,0	50,0
12.06.2025 13:21:52	16840,0	7320,0	4460,0	3500,0	1200,0	700,0	350,0	200,0	0,0	0,0	100,0	150,0	0,0	0,0	100,0	100,0
12.06.2025 13:21:53	16800,0	7970,0	4160,0	3500,0	1350,0	700,0	500,0	100,0	50,0	50,0	0,0	50,0	100,0	150,0	0,0	50,0
12.06.2025 13:21:54	16490,0	8530,0	5310,0	2700,0	900,0	750,0	250,0	150,0	100,0	50,0	100,0	100,0	100,0	50,0	50,0	50,0
12.06.2025 13:21:55	16490,0	7770,0	4210,0	3250,0	1350,0	600,0	400,0	50,0	100,0	150,0	0,0	50,0	0,0	0,0	0,0	0,0
12.06.2025 13:21:56	15880,0	7170,0	5210,0	2850,0	1050,0	500,0	100,0	150,0	100,0	100,0	0,0	50,0	100,0	0,0	0,0	50,0
12.06.2025 13:21:57	16990,0	8130,0	5060,0	3100,0	1400,0	300,0	450,0	50,0	0,0	50,0	50,0	0,0	100,0	0,0	0,0	200,0
12.06.2025 13:21:58	15830,0	7370,0	4310,0	3150,0	750,0	650,0	300,0	100,0	100,0	0,0	50,0	50,0	0,0	100,0	50,0	50,0
12.06.2025 13:21:59	16230,0	6870,0	5110,0	2750,0	1250,0	600,0	150,0	150,0	50,0	50,0	0,0	100,0	50,0	0,0	0,0	0,0
12.06.2025 13:22:00	17090,0	7170,0	4160,0	3550,0	1700,0	500,0	100,0	100,0	200,0	200,0	0,0	50,0	50,0	0,0	0,0	50,0
12.06.2025 13:22:01	15830,0	7670,0	4860,0	2500,0	950,0	250,0	200,0	50,0	100,0	0,0	0,0	50,0	250,0	50,0	50,0	0,0
12.06.2025 13:22:02	17280,0	6570,0	4210,0	2900,0	1050,0	500,0	200,0	200,0	0,0	200,0	50,0	100,0	100,0	0,0	50,0	100,0
12.06.2025 13:22:03	16390,0	8270,0	4610,0	2800,0	950,0	550,0	350,0	100,0	0,0	0,0	0,0	100,0	0,0	0,0	50,0	100,0
12.06.2025 13:22:04	17590,0	6820,0	4360,0	3200,0	1100,0	550,0	150,0	100,0	100,0	100,0	0,0	100,0	0,0	0,0	0,0	100,0
12.06.2025 13:22:05	15680,0	7920,0	4860,0	2850,0	1150,0	300,0	350,0	200,0	50,0	0,0	50,0	150,0	100,0	0,0	100,0	0,0
12.06.2025 13:22:06	17140,0	8080,0	5510,0	3250,0	1100,0	800,0	250,0	50,0	0,0	50,0	50,0	50,0	0,0	0,0	0,0	0,0
12.06.2025 13:22:07	18440,0	7470,0	3860,0	2500,0	1150,0	550,0	50,0	100,0	0,0	100,0	0,0	150,0	150,0	0,0	50,0	0,0
12.06.2025 13:22:08	15930,0	6220,0	4460,0	3200,0	1700,0	800,0	250,0	0,0	100,0	50,0	250,0	150,0	0,0	0,0	0,0	0,0
12.06.2025 13:22:09	16940,0	9330,0	4710,0	2650,0	1150,0	450,0	100,0	50,0	50,0	50,0	100,0	100,0	200,0	0,0	0,0	150,0
12.06.2025 13:22:10	15170,0	7170,0	4810,0	2200,0	1200,0	350,0	150,0	50,0	50,0	150,0	100,0	150,0	0,0	0,0	0,0	100,0
12.06.2025 13:22:11	16220,0	7220,0	4210,0	2250,0	1000,0	450,0	100,0	150,0	150,0	50,0	150,0	0,0	50,0	50,0	50,0	50,0
12.06.2025 13:22:12	14670,0	8270,0	4010,0	2950,0	900,0	600,0	200,0	50,0	150,0	150,0	50,0	100,0	100,0	0,0	50,0	50,0
12.06.2025 13:22:13	16180,0	6520,0	4510,0	2650,0	1400,0	850,0	150,0	100,0	150,0	0,0	50,0	50,0	50,0	0,0	0,0	0,0
12.06.2025 13:22:14	16940,0	7580,0	5660,0	3500,0	1100,0	350,0	500,0	250,0	100,0	50,0	100,0	100,0	50,0	100,0	0,0	50,0
12.06.2025 13:22:15	17840,0	8320,0	4010,0	2750,0	900,0	650,0	350,0	50,0	50,0	0,0	100,0	150,0	50,0	0,0	100,0	50,0
12.06.2025 13:22:16	15640,0	8320,0	4010,0	3200,0	1150,0	550,0	300,0	150,0	150,0	100,0	300,0	100,0	150,0	0,0	50,0	50,0
12.06.2025 13:22:17	16990,0	8480,0	4710,0	2600,0	1550,0	750,0	200,0	100,0	200,0	0,0	200,0	0,0	0,0	0,0	50,0	50,0
